"old_file","old_fqcn","new_file","new_fqcn","symbol_type","business_domain","registration_type","external_reference_count"
"vendor/dtyq/super-magic-module/src/Interfaces/Skill/DTO/Request/GetSkillFileUrlsRequestDTO.php","Dtyq\SuperMagic\Interfaces\Skill\DTO\Request\GetSkillFileUrlsRequestDTO","app/Interfaces/SuperMagic/Skill/DTO/Request/GetSkillFileUrlsRequestDTO.php","App\Interfaces\SuperMagic\Skill\DTO\Request\GetSkillFileUrlsRequestDTO","class","Skill","ordinary","0"
"vendor/dtyq/super-magic-module/src/Interfaces/Skill/DTO/Request/ImportSkillRequestDTO.php","Dtyq\SuperMagic\Interfaces\Skill\DTO\Request\ImportSkillRequestDTO","app/Interfaces/SuperMagic/Skill/DTO/Request/ImportSkillRequestDTO.php","App\Interfaces\SuperMagic\Skill\DTO\Request\ImportSkillRequestDTO","class","Skill","ordinary","0"
"vendor/dtyq/super-magic-module/src/Interfaces/Skill/DTO/Request/ParseFileImportRequestDTO.php","Dtyq\SuperMagic\Interfaces\Skill\DTO\Request\ParseFileImportRequestDTO","app/Interfaces/SuperMagic/Skill/DTO/Request/ParseFileImportRequestDTO.php","App\Interfaces\SuperMagic\Skill\DTO\Request\ParseFileImportRequestDTO","class","Skill","ordinary","0"
"vendor/dtyq/super-magic-module/src/Interfaces/Skill/DTO/Request/PublishSkillRequestDTO.php","Dtyq\SuperMagic\Interfaces\Skill\DTO\Request\PublishSkillRequestDTO","app/Interfaces/SuperMagic/Skill/DTO/Request/PublishSkillRequestDTO.php","App\Interfaces\SuperMagic\Skill\DTO\Request\PublishSkillRequestDTO","class","Skill","ordinary","0"
"vendor/dtyq/super-magic-module/src/Interfaces/Skill/DTO/Request/QuerySkillMarketsRequestAdminDTO.php","Dtyq\SuperMagic\Interfaces\Skill\DTO\Request\QuerySkillMarketsRequestAdminDTO","app/Interfaces/SuperMagic/Skill/DTO/Request/QuerySkillMarketsRequestAdminDTO.php","App\Interfaces\SuperMagic\Skill\DTO\Request\QuerySkillMarketsRequestAdminDTO","class","Skill","ordinary","0"
"vendor/dtyq/super-magic-module/src/Interfaces/Skill/DTO/Request/QuerySkillVersionsRequestAdminDTO.php","Dtyq\SuperMagic\Interfaces\Skill\DTO\Request\QuerySkillVersionsRequestAdminDTO","app/Interfaces/SuperMagic/Skill/DTO/Request/QuerySkillVersionsRequestAdminDTO.php","App\Interfaces\SuperMagic\Skill\DTO\Request\QuerySkillVersionsRequestAdminDTO","class","Skill","ordinary","0"
"vendor/dtyq/super-magic-module/src/Interfaces/Skill/DTO/Request/QuerySkillVersionsRequestDTO.php","Dtyq\SuperMagic\Interfaces\Skill\DTO\Request\QuerySkillVersionsRequestDTO","app/Interfaces/SuperMagic/Skill/DTO/Request/QuerySkillVersionsRequestDTO.php","App\Interfaces\SuperMagic\Skill\DTO\Request\QuerySkillVersionsRequestDTO","class","Skill","ordinary","0"
"vendor/dtyq/super-magic-module/src/Interfaces/Skill/DTO/Request/ReviewOrganizationSkillVersionRequestDTO.php","Dtyq\SuperMagic\Interfaces\Skill\DTO\Request\ReviewOrganizationSkillVersionRequestDTO","app/Interfaces/SuperMagic/Skill/DTO/Request/ReviewOrganizationSkillVersionRequestDTO.php","App\Interfaces\SuperMagic\Skill\DTO\Request\ReviewOrganizationSkillVersionRequestDTO","class","Skill","ordinary","0"
"vendor/dtyq/super-magic-module/src/Interfaces/Skill/DTO/Request/ReviewSkillVersionRequestDTO.php","Dtyq\SuperMagic\Interfaces\Skill\DTO\Request\ReviewSkillVersionRequestDTO","app/Interfaces/SuperMagic/Skill/DTO/Request/ReviewSkillVersionRequestDTO.php","App\Interfaces\SuperMagic\Skill\DTO\Request\ReviewSkillVersionRequestDTO","class","Skill","ordinary","0"
"vendor/dtyq/super-magic-module/src/Interfaces/Skill/DTO/Request/UpdateSkillInfoRequestDTO.php","Dtyq\SuperMagic\Interfaces\Skill\DTO\Request\UpdateSkillInfoRequestDTO","app/Interfaces/SuperMagic/Skill/DTO/Request/UpdateSkillInfoRequestDTO.php","App\Interfaces\SuperMagic\Skill\DTO\Request\UpdateSkillInfoRequestDTO","class","Skill","ordinary","0"
